product,title,rating,content
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",The worst do not buy the majority of the mask don’t have ear straps extremely bad quality !!!!,1.0,"The media could not be loaded.
                




   Very bad quality, monear straps waste of money do not buy !"
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Don’t buy!!!!,1.0,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions and subtitles off, selectedAudio TrackFullscreenThis is a modal window.



   Terrible product. 6 out of the first 7 I tried to put on snapped😠. 2 taking them out of the package. The one that worked broke while I was wearing it in the store🤬. Used up 20 of them going shopping. Very displeased and am returning. That quality of straps make me wonder how good the materials really are in the mask😳."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Too thick,3.0,They seem too thick actually. I wear them to make others feel better and because I have to wear them at work and on the airplane (I travel a lot). But realistically I’d rather it be as thin as possible and more comfortable for me.UPDATE: And the strap has broken on every other one.
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Best masks?,3.0,"I bought these for the first time in April, I did not realize how good the masks were until I ran out and bought 2 other brands similar. They did not compare!Update: I ordered more and when they arrived they were not in the same packaging (see pic) or same quality. The first ones came in the teal package, the second ones came in the white packaging.I will be returning."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",DO NOT BUY!! AWFUL CHEMICAL SMELL and received opened returned package,1.0,Package came ripped open as if it had been opened and returned! I then opened to check out the masks and they have a STRONG SMELL of chemicals! My guess that's why they were returned to begin with! Who does quality control in the order filling department? Why are sealed products like disposable masks that have been CLEARLY ripped opened and returned put back on the shelves for resale???
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",VERY STRONG CHEMICAL SMELL!,2.0,"The ones I purchased had a very, very strong chemical smell! It was overpowering!  There is no way I can use these, so I will be returning them. I do see where some reviews mention a strong chemical smell and others don't. I also noticed that pictures posted for these particular masks show totally different packaging than the ones I received. I'm thinking the packages of masks differ from customer to customer, depending on what's available at the time of sale.  I did buy another box of black masks from another seller that did not have any smell whatsoever, so I know it can be done. I wish I would have bought more of those, because, unfortunately, those are no longer available."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Poor Quality: Ear loops break immediately!,1.0,"I am a high school teacher and I bought these because students often ask me for a mask in my classroom to replace an uncomfortable, ill-fitting, or broken mask (or if they forgot one). I had bought black disposable masks before that worked fine, and they thought black ones were cooler than the standard blue ones for some reason. This time, these masks seem so much more cheaply made and I feel they’re a complete waste of my money. Multiple times, I’ve had a student go to put one on and the ear strap immediately broke. I don’t know if I just got a bad batch or what. Very disappointed!"
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Must have mask - no more mask acne,5.0,"Disposable mask that isn’t an eyesore. I was purchasing cute linen and silk masks, but my face was having severe chin break outs. I switched to these and my skin has cleared back up. I do not have acne prone skin. I can also make these fit my children, the ear loops are very soft and stretchy, so I make little loops to make them smaller- kid size. Great price, too!"
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",It had one job…,1.0,"I bought these for my teenage son to wear to school. They are very thin, the elastic straps come loose, and the nose clip doesn’t seem to stay in place! The sides won’t stop flapping out. We had purchased some great ones through Longpala, but they don’t seem to be available. Wearing this all day is a frustrating experience. He said it would be better to tape paper to his face. Returning."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Smells extremely toxic and wouldn’t recommend it,1.0,The masks smell like they just got out of the manufacturer’s to the point that it’s unbearable to wear since it smells so toxic. I want a refund.
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Terrible. Do not buy,1.0,"I should have known better based on the price.  These were terrible.  I couldn’t get past the packaging. I looks like someone grabbed a stack of masks, shoved them into a plastic bag and taped it shut. It wasn’t even sealed shut.  Parts of the bag were open near the top where the tape didn’t cover and there was a small hole on one side.  Which means they were exposed.  I returned.  I’ll spend a little more and get good quality."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Contains Unkown Chemicals,1.0,"These were purchased a couple weeks ago, I bought them for my 11yr old to wear to school. She wanted a different color then they hand out at school, so we went with the black as black goes with everything. She told me first day that she could smell what kind of smells like cough medicine coming from them. I reassured her that it was probably the type of material and I wore one for a day and all seemed well just a little funky. 2 weeks later my daughter now has red itchy and irritated eyes. At first I contacted her dr, we treated her for pink eye, no change, then was told it must be an allergy in the air from wind and weather, tried allergy antihistamine eye drops only to discover and realize that she does not have symptoms the days that I keep her home from school because they are so bad. By then end of the day she has not worn them, her eyes are almost normal, I send her back to school and she returns home with red irritated eyes. She says she can’t even smell them anymore. She’s gotten used to it. Geez I feel like a horrible mother at this point. Long story short, don’t buy these unless you’re ok with chemical irritants. I’m so thankful e finally figured this whole thing out, switched to different masks the last couple of days and we are back in business."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Don't buy these masks!,1.0,"I bought these masks on Amazon because the ones I usually buy are out of stock.Do not buy these masks!!!* Some, the ear string are broken out of the bag.* Some, the ear string breaks while you are wearing the mask.* Some, the wire that keeps the mask at your nose pops throught the mask -- right near your eye!!!! Dangerous!!!While most of the masks are perfectly wearable, the need to run back to the car for a new one or the risk of poking an eye out... no, no, no.I bought several packets to get me through the winter. Wish I could return them."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Stinky!,3.0,The chemical smell was overwhelming when I opened the package. I still had some of the ones I usually buy so I aired these out for a couple days before using them. They're fine now but I'm still a bit worried about what chemicals were on there. I can feel some kind of coating on them. They fit pretty good and the elastic is comfortable. The nose strap (is that what it's called?) keeps them in place. I only bought these because my usual brand was out of stock. I'll use these but I won't buy them again.
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",95% garbage.,1.0,"These are extremely poor quality. The top left strap rips off the mask on 75% of them. The straps are that horrible flat thin material that hurts the back of your ears. The metal strip is basically a spring steel, meaning you can’t form it to your nose to make a seal. (Yay foggy glasses every single time….)These are garbage. I hate when people sell actual garbage. And I really hate when I pay real money for garbage."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask","They’re masks, but they seem to fit loosely and it was confusing which way they went.",4.0,"I’m immunocompromised so I’ve been wearing masks while flying commercial(like a 10 hour flight where between the airport and the actual flight I wore a different but similar style mask for over 12 hours, doctor’s and all medical appointments since way before COVID was a thing(around 5-7 years prior to the pandemic) so I’m pretty used to wearing masks. Did my immunocompromised status I can’t wear cloth masks because you have no way of knowing if they’re really blocking anything so my hematologist told me I had to wear disposable masks(which I pretty much already knew.) I know these work well since they caused me to have an elevated oral temperature of 102.5 when it was taken at my rheumatologist’s office, which quickly lowered to normal after they had me go mask free for several minutes, so I know they’re doing their job. These are lightweight and it’s easy to forget you’re wearing them. My 18 year old son went for bloodwork and forgot he had it on until I told him he didn’t need to wear it in my car unless he thought I had COVID. I’ve also forgot I’ve had it on so they are definitely comfortable. Well as comfortable as a mask can be and let’s face it, that’s not very comfortable. They appear to work although I find them rather loose. Also when I first got them it was slightly confusing which way they went. Normally masks have a white side and a blue side so it’s easy to know which way they go but these are the same exact color on both sides so it was slightly confusing at first to figure out which way they were supposed to go(due to COVID and masks being in short supply when it first started  I’ve been wearing a different style of disposable mask than these ‘traditional style’ masks.) I finally figured it out to get the tightest fit possible even though they still feel too loose but that also could be because of the type of disposable masks I had been using as they fit a lot tighter than this style. I do notice my glasses fogging a lot more(not really often but often enough to be slightly annoying) no matter how tight I make the bridge of the nose which is annoying(and I rarely have that problem since I’ve become an expert at tightening them well at the bridge since, as I said before, I’ve had to wear masks for 5-7 years before COVID made everyone wear a masks.) All in all they’re a good mask and, except for what I’ve mentioned, they’re great and is definitely recommend them."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Not very easy to breathe during workouts,3.0,"I bought these masks for the first time because my usual ones were out of stock. They are a little tighter on the ear loops, which I like. It fits better than my usual ones. But the material is the same on both sides, which is fine, but I wish the material that touches my skin was softer. The biggest issue I have with these masks is that it's harder to breathe during workouts. My usual masks are thicker but a lot more breathable. I guess these would be ok if I didn't wear it during exercise, but I'm going back to my old masks as soon as they come back in stock."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Ear Loops Separating from Mask,2.0,"5 of the last 10 masks that I have used from this order, the ear loops broke when I went  to put them on. So frustrating."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Been buying for over a year this last batch was awful,1.0,"I don’t know if they change manufacturers or material they use to make them. But I have literally bought hundreds of these because my mask mandate at work has never dropped and I work long hours and wear at least two a shift. This last batch of 100 that I ordered is itchy, rough material, and the ear loops are a lot shorter and hurt within a half hour. Going to buy locally, disappointed"
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Not the same batch,3.0,"Kind of disappointed with the mask quality. I ordered a pack of 100 in 2021 and the masks were good quality, see picture mask on the right. I received the second package two days ago and I immediately noticed something was wrong. The package was different than the one received in the first order. And look mask on the left, the mask is so thin it lets the light through. Returning this product immediately."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Breathable and goes with everything,5.0,"I go for the black masks because they go well with everything. Its pretty comfortable, and I haven't rain into any issues with durability either. To be honest though, the actual filtration of the mask is not the best (based on deep inhalation/exhalation test). I'd say it's probably more fit for the people who wear a mask because it's required or ""just because."" If you are looking to make a fashion statement or you're really hoping to protect yourself from oral secretions and illness, this might not be your best bet."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Not the same thing,3.0,"As others, I ordered again. They are not the same.Not in a box. Not the same fabric. Not the same metal strip on the nose.It still has that same paper stamp for our future supreme overlords though.....OK enough to keep but if ""the apocalypse"" gets renewed for a season three ....I will look elsewhere."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",The BEST,5.0,"Pros: These mask are far my favorite. I have a larger face and the mask is stretchable and comfortable. The straps does not hurt around my ears and I can wear the mask all day with great comfort. It's super light weight and I'm able to breath.Cons: Some of the straps on the masks were broken. For my batch, I found 5 mask with broken straps but it wasn't a big deal for me. Also, there's a smell to the mask. The smell isn't bad or toxic, but if you're sensitive to smell, you may want to pass on buying these mask."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Ugh:,2.0,"So I’m an RN and have been wearing masks for 12+ hour shifts for over a year and a half now. Couldn’t deal with the blue hospital masks my job provides because I have very sensitive skin. Those blue ones make my face itch like crazy and even causes it to become raw and painful. I started buying my own and have been a black mask faithful because I just could not tolerate it anymore. I was in tears by the end of my shifts. This is the first pack of black masks I’ve gotten in over a year that I didn’t love. I hate leaving negative reviews but these ones smell weird, are really stiff, and make my face itch like crazy. All reasons I don’t wear the blue ones my job provides. I don’t know…just a tad disappointed. Otherwise I really do appreciate the speedy shipping. Just not crazy about these masks. :("
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Cheap masks,2.0,"Out of all the previous masks I’ve purchased, these have definitely been the worst. I wore these masks to an event just a few days ago and while at the event both mine and my friends masks broke, therefore leaving us without a mask for the rest of the night. Also I’m used to the white lining inside of the mask helping you differentiate between what is the front and back of the mask, however these masks don’t have that so if you takeoff your mask and put it down, you’re more likely to forget which side was the front and which side was the back. I probably wouldn’t buy these masks again. I normally use these for work or when I go to the gym or go out but the quality of these masks really aren’t that great and I wish I would’ve spent the extra couple bucks on pink masks that I had previously bought instead of these cheap black ones."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Masks Have Awful Smell,1.0,"The masks have a really bad smell that doesn't want to go away, even with airing the masks. I have no idea if the masks fit because I can't stand the smell long enough to put them on my face. I wish I had read the other reviews about the smell, but I just looked at how many stars the product had. Tossing them. Bad purchase. Lesson learned."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Don't fit very well,3.0,"These masks don't feel very well. Compared to surgical masks (the blue kind), these do not contour well around the bridge of the nose, leaving a lot of empty space on both sides of the nose.  This seems to be due to the quality of the metal insert that shapes around the nose bridge.  In addition to the decrease protection that this results in, this also causes greater fogging of my eyeglasses, as extra breathing moisture comes up from the top of the mask."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Not good,1.0,"I ordered these masks in the summer and they weren’t bad. Moldable nose piece, medium thick, solid ear bands. I needed more and went back to my previous orders to make sure I got the same ones. Using the exact same link as before I reordered and received a totally different, and much shoddier product. They were not in the same packaging, didn’t have the same ‘brand’, and of course they are terrible fit and quality."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Slight smell,4.0,"As some of the other reviews have noted, they had a slight plastic smell. I figured out that the plastic bag they were shipped in was the cause of the smell so I took the masks out of the plastic and left them on my counter for a few days and the smell went away. Other than the smell, they worked great."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",This mask product lacked merit.,3.0,Listen I opened the masks & found that in the midst of the masks a few of them only had one string. The left ear string was missing so I threw them away. I didn’t bother to go through the remaining unopened ones but because a few was missing in the first pile I imagined it is the same with the latter pile. It was very disheartening & since I chose to keep the whole packet in spite  of the few masks that only have one ear string I will just suffer the loss & order another brand next time. Too much of a hassle to repackage & return.
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Good quality,4.0,"Good quality overall. My only complaint is I ordered three and only received one. They canceled the other two pack and I’m not sure why. It just said undeliverable. They plan on crediting me but have no explanation as to why. Maybe there is a one package limit? Easy to breathe in and even helps mask odors from changing patients who have soiled linen  or strong urine, or cholesystostomy bags. There are strong odors from these things at times and the mask really does help from having to breathe it in. Overall I’m happy with this product. Had I gotten all three bags I would have given 5 stars."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask","Poor quality, flimsy and not lined.",3.0,"I have ordered a lot of masks that look just like these ones, but these do not have a somewhat clear coating on them so the second they get sweat on them they are soaked. They’re much flimsier than ones I’ve bought previously. I usually use these for the gym and they don’t hold up, so I’m forced to order another pack elsewhere and have 100 I can’t use."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",All Are Damaged !!Not Buying Again!!,1.0,Horrible buy not sure if its just me but every mask i have tried using is damaged i barely stretch the loop to go behind the ear to put on and it literally falls off the masks ive gone through 32 masks out of the 100 so far and have got only 2 to not bust on me bought for my kids to use at school Definitely Not Buying Again!!! Thought one side would be white as well that goes towards face but both sides have the same material which is what goes on the outside 😤
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",These smell god awful,2.0,"As a family of 4, we have gone through a lot of masks in the last 18 months. These are nearly identical to the ones we have ordered repeatedly (those were out of stock), but they smell absolutely awful. I dumped the package into a tote and left them outside for an afternoon to air out and it didn’t help.Pass on these—who knows what the smell is and whether it’ll harm your lungs breathing it in all day."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask","Really, really great!",5.0,"Where I live (Oregon), masks are still mandatory everywhere. So, if you have to wear a mask, you might as well look classy, right? With these masks, you can achieve that. They are super soft, comfortable, and—best of all—allow you to breathe normally (unlike some cloth masks I’ve tried). And if you’re a fashionista, you know that black goes with everything. 😊"
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",The worst product I've ever bought.,1.0,"Honestly, I thought the first couple were part of a series of unfortunate events. But 90% of these masks broke the moment I went to put on my ear.What a huge waste of money. Literally, right now I had 3 in a row break. Ugh!!!! So frustrating. This happened all throughout my recent trip and even had to rig some because we didn't know we had to being 5 backups on every outing. Do no buy.🚫🚫🚫"
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Scratchy & make your face hot more than others I’ve used,1.0,"While using my first one yesterday on the subway, I noticed my face was extremely warm. More than normal and usual from using other surgical black style masks. I switched it out for the other brand in my bag and sure enough, my face was much more comfortable. For some reason this scratchy mask breathes very warm. And as mentioned, the material is very stiff and scratchy Vs others I’ve used. Returning."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Love these!!!,5.0,Wow these masks are actually super comfortable!!! I have struggled and bought so many different ones trying to find ones that don’t bother me.  I cant feel them around my ears at all! Definitely very breathable also!! Def buy these!! You can’t beat the price for this good of quality!!
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Good buy but nothing special just another mask,4.0,"These are good, and I recommend buying them if you can get a good price on them like I did think I paid about six or seven bucks for 50 of them. They’re pretty similar to the blue masks that look very similar I mean there’s nothing really all that special about them but at the same time there’s nothing bad about them either really. I usually use n95 masks when I go anywhere sketchy because they’re so easy to find now but there are many occasions where I  just slap one of these on and is actually easier and makes more sense, not to mention cheaper so they still have their purpose."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Possibly a BAD batch???,1.0,"Masks are light weight and the elastic for the ears is fairly comfortable; however, they fall apart quickly. Definitely not made to be used all day. I bought these to wear to work and change them daily. I have a petite face and I find myself going through 4-5 masks a day because of them not holding together on the sides (see picture). Unfortunately, I will not be buying these again."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Good in a pinch,4.0,"This is maybe the third set I've bought. I've never experienced any that smell, so I'm not sure if the other reviewers received something different or what. These are comfortable, I have never had one break on me, they don't hurt my ears and work well with my glasses (two pairs, one that sits directly on the nose and one with a nose piece.) I'm giving them four stars because the description says they are 3 ply and they are kind of thin. Not thin enough that I will stop wearing them, but thin enough that I doubt that claim."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask","Easy for travel, stores easily",5.0,"These have been my go to mask when ordering different selections during the pandemic. They are definitely a must have, easy to travel with and easy to store and keep on deck for long term and short term use. I hope that they keep making the black color, this makes it easy to coordinate clothing and uniforms."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Great in everything but consistency,2.0,"The mask material is light and comfortable and everything you'd expect from this style of disposable mask. They come as two closed packs of 50 masks in a larger bag so it's nice to be able to keep half sealed until you're ready to use themThe issue comes from the elastic bands. Of one bag of 50, 33 bands snapped off from very minimal pulling and 4 had no bands at all. The 2nd pack of 50 are all fine and every one passed a pull test. It seems that I got a bad batch so it's recommended you double check the bands before putting them on. Despite getting 63 usable masks instead of 100, it's still a decent price so I'm not worried about it but buyer bewareTL;DR masks are ok but 35% of the elastic bands broke or were missing"
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Prime Day deal,4.0,"Got these for $7.20 on Prime Day, so a great deal. Almost gone and none have broken, and the nose bridge is easy to adjust so it doesn't fog up for a 10 year old with glasses, an adult man with beard and glasses, and even for me as an Asian woman with a low/no nose bridge who sometimes wears glasses.They did smell strongly when I opened them so I spread out one 50 pack to air out and did the same with the other 50 pack with a dryer sheet, and the ones I left alone ended up preferable and fine. I have never smelled anything while wearing one, even outside in 90 degree humid weather, so it seems it was just the initial packaging.I wear one every day at work as required and it is comfortable and breathable. They are light but I don't find them any thinner than any other disposable masks.Have to rebuy masks since school is starting back up and my daughter will be wearing at least one every day, but now that the regular price is 3x what I paid I will probably buy something cheaper."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Do Not Buy!,1.0,"I bought these masks for the price point, 100 pcs for $9.99. Pretty good!  Well, I received them yesterday and wow am I disappointed. They are not at all what I was expecting. They are so thin and flimsy! Please be aware, THEY ARE NOT MEDICAL GRADE. I will be returning because they will not be protecting anyone from anything."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Not for someone with Narrow Face,3.0,Fit was okay for me but there is a gap on sides of the face after putting it on and positioning it.My teenagers didn't like that it was so open on the sides - Afraid of germs coming in.  They won't wear -  My face a little fuller so the gaps were not as big.
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Love it,5.0,"I recently purchased from another seller because it was $2 cheaper than this price and I wasn’t happy, I’m glad I did that because I realized the difference. These masks do not sound like newspaper and they’re stretchy ! I will keep buying over and over like I have already. I recommend this brand 100%."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",No Wire for Close Fit Around Nose,1.0,"No wire for proper fit. Too small for a man with a large face. Flimsy material. I have not noticed a smell as others mentioned. Would not recommend at all. My wife uses them as an extra layer under a proper mask just to get some use out of them. I recommend reading all the information thoroughly, as well as the reviews before making a decision as to whether or not to purchase."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Never have written a review,1.0,I have purchased many many things through Amazon. I have never been so hoodwinked as I did with these masks. I did not see bad reviews before I purchased. These reviewers must be getting paid or getting them free. They are like sand paper on your face. I tried to wear one for 30 minutes thinking I would get used to it. No luck . They are also so thin I doubt they are doing any good. I wish I could donate them to someone but who would want one? So disappointed! I gave it 0 stars but they would not let me sun
